href,name,brand,price,product_details,instruction,ingredients,warnings
https://www.rossmann.de/de/pflege-und-duft-nivea-expert-lift-cellular-multi-effekt-anti-age-nachtpflege/p/4005900933560?rm_tt=eyJhZF9pZCI6IjA5ZmMxYTlkLWUwZmYtNGJlNy1hNGQ3LTZkZjZlMmU1Y2I3MSIsInByb2plY3RfaWQiOiJkZGY0YzYyMy1iYTBkLTQ2ZjEtOThjMi03OWRhMjVkYmExNjYiLCJza3UiOiI0MDA1OTAwOTMzNTYwIiwiaWF0IjoxNzc5NDY4NTk3LCJsaSI6IjAxODViNTg0LTY3NmItNDZkMi04NzFjLWE0ODc3YWZiYjJlZiIsImFzIjoiMWQ0MmEyZDEtM2JmYy00ODY1LTkyZjUtMjNmZWI1ZGQ1NzRhIiwiYmMiOjU3LCJidCI6MSwicGwiOiIzYzU5ZTFjNi1jMzlmLTRjNmQtYmYwYi1iZDMzMzc2OTJhNTUiLCJhdCI6MTc3OTQ2ODU5NzM2Nn0%3D.5npoK6cb_eZUDdD5WOOVDwDlZdxzIXbJO1jB0Xm78ms%3D,Expert Lift Cellular Multi-Effekt Anti-Age Nachtpflege,NIVEA,"Artikelpreis 19,99 €","Die Cellular Expert Lift Multi-Effekt Anti-Age Nachtpflege - mit Bakuchiol als Alternative zu Retinol - ist die ideale Anti Age Nachtcreme für jünger aussehende Haut. Unsere innovative Formel erhöht die Zellaktivität tief im Hautinneren & hilft die Haut zu festigen.* Pures Bakuchiol, eine neue Anti-Age Wirkstoffgeneration bei NIVEA & Hyaluronsäure unterstützen die Kollagenproduktion bereits ab 4h nach der Anwendung. Sie versorgen die Haut mit intensiver Feuchtigkeit, glätten sie & mildern Falten sichtbar. *getestet an Hautzellen/in vitro für Bakuchiol nachgewiesen: Expert Lift Cellular Multi Effekt Anti-Age Nachtpflege.
definiert Konturen
regeneriert die Haut der Nacht
mildert selbst tiefe Falten
stimuliert Kollagen in 4 Stunden
pures Bakuchiol sowie Mikro- & Makro Hyaluronsäure für ein junges Hautbild
dermatologisch bestätigt
Kontaktdaten
Beiersdorf AG
D-20245 Hamburg
www.nivea.com",Täglich abends auf das gründlich gereinigte Gesicht auftragen.,"Aqua, Glycerin, Butyrospermum Parkii Butter, Ricinus Communis Seed Oil, Cetearyl Alcohol, Methylpropanediol, Hydrogenated Coco-Glycerides, Glyceryl Stearate, Glyceryl Stearate Citrate, Bakuchiol, Sodium Hyaluronate, Panthenol, Pantolactone, Creatine, 1-Methylhydantoin-2-Imide, Ethylhexylglycerin, Caprylyl Glycol, Xanthan Gum, Sodium Hydroxide, Citric Acid, Sodium Sulfate, Sodium Chloride, Phenoxyethanol, Parfum, CI 15985, CI 47005",
https://www.rossmann.de/de/pflege-und-duft-nivea-luminous630-skin-glow-liquid-refiner/p/4006000171647?rm_tt=eyJhZF9pZCI6IjE0MzAyMzQ2LWFiOTQtNGY1OS05MmFhLTY1NzM2ODdjMTlmNiIsInByb2plY3RfaWQiOiJkZGY0YzYyMy1iYTBkLTQ2ZjEtOThjMi03OWRhMjVkYmExNjYiLCJza3UiOiI0MDA2MDAwMTcxNjQ3IiwiaWF0IjoxNzc5NDY4NTk3LCJsaSI6IjhhYjU4ZjgxLTdhYzAtNGU4YS05NjRkLTdiY2FkMTZhZTRkMyIsImFzIjoiMWQ0MmEyZDEtM2JmYy00ODY1LTkyZjUtMjNmZWI1ZGQ1NzRhIiwiYmMiOjU3LCJidCI6MSwicGwiOiIzYzU5ZTFjNi1jMzlmLTRjNmQtYmYwYi1iZDMzMzc2OTJhNTUiLCJhdCI6MTc3OTQ2ODU5NzM2Nn0%3D.i3gCsHoV6su8pGrvgzeVoZxFT5po7bxC62csubs7v3Y%3D,LUMINOUS630® Skin Glow Liquid Refiner,NIVEA,"Artikelpreis 9,99 €","Der NIVEA LUMINOUS630® Skin Glow Liquid Refiner ist ein
1. EBENMÄSSIGES HAUTBILD: sorgt für eine ebenmäßige Haut in 7 Tagen
2. PORENVERFEINERUNG: verfeinert sofort die Poren und glättet die Haut
3. SANFTES PEELING: erneuert die Haut durch aktive Inhaltsstoffe 4% AHA & 1% PHA
Die einzigartige hochwirksame Formel ist leicht und zieht schnell ein.
2X Wirkung: Sofort sichtbar strahlende Haut. Bei langfristiger Anwendung gesund aussehende und ebenmäßige Haut. Verfeinert das Hautbild, glättet die Haut und verkleinert die Poren.
instant glow
sanftes und effektives Peeling der Haut
in 7 Tagen: Ebenmäßige & glatte Haut
verfeinert sofort die Poren und glättet die Haut
erneuert die Haut durch aktive Inhaltsstoffe 4% AHA & 1% PHA
2X Wirkung: Sofort sichtbar strahlende Haut. Bei langfristiger Anwendung gesund aussehende und ebenmäßige Haut
Hautverträglichkeit dermatologisch bestätigt
geeignet für alle Hauttypen, auch sensible Haut
Kontaktdaten
Beiersdorf AG
Beiersdorfstraße 1-9, 20245 Hamburg
www.nivea.de
nivea@beiersdorf.com","Einmal täglich mit einem Wattepad oder der Hand auf das gut gereinigte Gesicht auftragen. Nicht abspülen.
Deine Glow Routine:
1. SKIN GLOW LIQUID REFINER
2. SKIN GLOW INSTANT GLOW SERUM","Aqua, Glycolic Acid, Glycerin, Sodium Hydroxide, Gluconolactone, Aloe Barbadensis Leaf Juice Powder, Xanthan Gum, Phenoxyethanol","Warnhinweise
Es kann ein leichtes Brennen auftreten. Nicht auf gereizter Haut anwenden; die Anwendung einstellen, wenn Reizungen auftreten; bei anhaltenden Reizungen einen Arzt aufsuchen; Augenkontakt vermeiden. Dieses Produkt enthält Alpha-Hydroxysäuren, die die Empfindlichkeit der Haut gegenüber der Sonne und insbesondere die Möglichkeit eines Sonnenbrands erhöhen können. Verwende einen Sonnenschutz und beschränke die Sonnenexposition während der Anwendung dieses Produkts und eine Woche danach. Verwende nicht mehr als ein chemisches Peeling pro Tag."
https://www.rossmann.de/de/pflege-und-duft-isana-augenpads-hydrogel-hibiskus/p/4068134104380,Augenpads Hydrogel Hibiskus,ISANA,"Artikelpreis 0,79 €","Wirkung: Die ISANA Hydrogel Augenpads mit Coffein, Hyaluron und Hibiskus-Extrakt versorgen deine Augenpartie intensiv mit Feuchtigkeit. Die wweiche Hydrogel Textur schmiegt sich ideal an die Augenpartie an und sorgt für eine angenehme Kühlung. Augenringe, Schwellungen und sichtbare Anzeichen von Müdigkeit wirken dadurch reduziert.
Hautverträglichkeit: dermatologisch bestätigt
diese Rezeptur ist zu 100% ohne Mikroplastik.
mit Hyaluron, Koffein & Hibiskus-Extrakt
Intensiv-Wake-up-Effekt
Kontaktdaten
Dirk Rossmann GmbH
Isernhägener Straße 16, 30938 Burgwedel
www.rossmann.de
product@rossmann.info
Ursprungsland/Herkunftsort
Hergestellt in der PCR
Testurteile, Qualitätssiegel & Verbandszeichen","1. Folie aufreißen und Augenpads herausnehmen.
2. Pads direkt unter den Augen auf die gereinigte Haut auflegen.
3. 15 bis 20 Minuten einwirken lassen. Pads abnehmen und Rückstände sanft einklopfen oder einmassieren.
​​​​​​​TIPP: Für einen besonderes intensiven Frische-Effekt: Die Augenpads vor der Anwendung im Kühlschrank lagern.","Aqua, Propylene Gylcol, Glycerin, Butylene Glycol, Camellia Sinensis Poly L phenols, Caffeine, Camellia Sinensis Catechins, Centella Asiatica Extract, Glycyrrhiza Glabra Root Extract, Hibiscus Mutabilis Flower Extract, Rosmarinus Officinalis Leaf Extract, Sodium Hyaluronate, Polyglutamic Acid, 1,2-Hexanediol, Caprylyl Glycol, Ethylhexylglycerin, Glucomannan, Glucose, Hydroxyacetophenone, Menthyl Lactate, Xanthan Gum, Synthetic Fluorphlogopite, CI 77491, CI 77510, Potassium Chloride, Phenoxyethanol, CI 77891, Tin Oxide",
https://www.rossmann.de/de/pflege-und-duft-isana-korean-skincare-hydration-cream/p/4068134128515,Korean Skincare Hydration Cream,ISANA,"Artikelpreis 5,99 €","Das Geheimnis strahlender Haut!
Entdecke die koreanische Pflegeroutine mit der neuen ISANA Serie und erlebe den Unterschied. Beruhigende Feuchtigkeitscreme mit CICA und Panthenol, die die Haut intensiv hydratisiert. Die Creme pflegt, unterstützt die Regeneration der Haut und stärkt die Hautbarriere.
Step 4 der Korean Skincare-Routine.
mit CICA und Panthenol
hydratisiert und pflegt die Haut
Stärkung der Hautbarriere
Hautverträglichkeit dermatologisch bestätigt
Kontaktdaten
Dirk Rossmann GmbH
Isernhägener Straße 16, 30938 Burgwedel
www.rossmann.de
product@rossmann.info
080076776266",Eine großzügige Menge Creme auf das gereinigte und mit Serum versorgte Gesicht auftragen. Sanft verteilen und vollständig einziehen lassen. Die Augenpartie aussparen.,"AQUA, DIPROPYLENE GLYCOL, GLYCERIN, NIACINAMIDE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PHENYL TRIMETHICONE, BUTYLENE GLYCOl SODIUM POLYACRYLATE, HYDROXYACETOPHENONE, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, GLYCERYL STEARATE, CAPRYLYL GLYCOL, CETEARYL OLIVATE, SORBITAN OLIVATE, PANTHENOL, ARCTOSTAPHYLOS UVA·URSI LEAF EXTRACT, PARFUM, ETHYLHEXYLGLYCERIN, ADENOSINE, XYLITYLGLUCOSIDE,1,2- HEXANEDIOl XANTHAN GUM, ANHYDROXYLITOL, XYLITOL, CENTELLA ASIATICA EXTRACT, HOUTTUYNIA CORDATA EXTRACT, MELALEUCAALTERNIFOLIA LEAF EXTRACT, PORTULACA OLERACEA EXTRACT, GLUCOSE, HYDROGENATED LECITHIN, DIPOTASSIUM GLYCYRRHIZATE, CERAMIDE NP, SODIUM HYALURONATE, MADECASSOSIDE, HYDROLYZED HYALURONIC ACID, TOCOPHEROl ASIATIC ACID, ASIATICOSIDE, MADECASSIC ACID, SODIUM ACETYLATED HYALURONATE.",
https://www.rossmann.de/de/pflege-und-duft-isana-hydrogel-augenpads/p/4305615797076,Hydrogel Augenpads,ISANA,"Artikelpreis 0,79 €","Die ISANA Hydrogel Augenpads mit der Wirkstoffkombination aus Hyaluron, Aloe Vera und Koffein erfrischen die Augenpartie und versorgen sie intensiv mit wertvoller Feuchtigkeit. Die angenehm kühlende Hydrogel-Textur schmiegt sich perfekt der Augenpartie an und durchfeuchtet die Haut intensiv. Für eine erholte und strahlend aussehende Augenpartie.
Ergebnis: Augenringe, Schwellungen und sichtbare Anzeichen von Müdigkeit wirken reduziert.
TIPP: Für einen vitalisierenden Sofort-Frische-Effekt, Pads kurz vor der Anwendung in den Kühlschrank legen.
Hautverträglichkeit: dermatologisch bestätigt.
Diese Rezeptur ist zu 100% ohne Mikroplastik.
Kontaktdaten
Dirk Rossmann GmbH
Isernhägener Straße 16, 30938 Burgwedel
www.rossmann.de
product@rossmann.info
Testurteile, Qualitätssiegel & Verbandszeichen","1. Folie aufreißen und Augenpads herausnehmen.
2. Pads direkt unter den Augen auf die gereinigte Haut auflegen.
3. 15 - 20 Minuten einwirken lassen. Pads abnehmen und Rückstände sanft einklopfen oder einmassieren.","Aqua, Glycerin, Sorbitol, Trehalose, Chondrus Crispus Powder, Coffea Arabica Fruit Extract, Sodium Hyaluronate, Aloe Barbadensis Leaf Extract, Glucomannan, Hydroxyacetophenone, Butylene Glycol, Cyclodextrin, 1,2-Hexanediol, Potassium Chloride, Ethylhexylglycerin, Phenoxyethanol, Parfum, CI 77007.","Warnhinweise
Maske zum einmaligen Gebrauch. Nicht für Kinder geeignet. Hautverträglichkeit dermatologisch getestet."
https://www.rossmann.de/de/pflege-und-duft-isana-calming-barrier-serum/p/4068134047359,Calming Barrier Serum,ISANA,"Artikelpreis 5,99 €","Wirkstofffkomplex aus:
5% Ceramid-Komplex stärkt die natürliche Hautschutzbarriere und verbessert die Widerstandskraft der Haut.
2% Niacinamide unterstützt die Hauterneuerung und hilft, die Hautbarriere zu stärken.
0,1% Cica wirkt hautberuhigend, Hautirrtitationen und Rötungen werden gemildert.
Das ISANA Calming Barrier Serum mit seiner hochwirksamen Pflegeformel stärkt die Hautschutzbarriere, beruhigt gestresste Haut und mildert Rötungen, Spannungsgefühle und Juckreiz. Die Haut wird mit intensiver Feuchtigkeit versorgt. Die Formulierung hinterlässt ein geschmeidiges und ebenmäßiges Hautbild.
für jeden Hauttyp geeignet - auch für empfindliche Haut geeignet. Ideal bei gestresster Haut und Rötungen.
Hautverträglichkeit: Dermatologisch bestätigt.
diese Rezeptur ist zu 100% ohne Mikroplastik.
*in-vivo Studie des Rohstoffes mit 25 ProbandInnen bei zweimaliger Anwendung über 21 Tage.
Kontaktdaten
Dirk Rossmann GmbH
Isernhägener Straße 16, 30938 Burgwedel
www.rossmann.de
product@rossmann.info
0800-76776266
Testurteile, Qualitätssiegel & Verbandszeichen","Morgens und Abends täglich nach der Reinigung 2-3 Tropfen auf Gesicht, Hals und Dekolleté auftragen und sanft einmassieren. Augenpartie aussparen. Anschließend  deine gewohnte Tages- oder Nachtcreme auftragen.","AQUA, GLYCERIN, OCTYLDODECANOL, NIACINAMIDE, DISTARCH PHOSPHATE, DICAPRYLYL CARBONATE, PECTIN, PHENOXYETHANOL, PANTHENOL, HYDROXYACETOPHENONE, DICAPRYLYL, ETHER, LAURYL ALCOHOL, ALLANTOIN, XANTHAN GUM, PENTYLENE GLYCOL, CHONDRUS CRISPUS POWDER, MADECASSOSIDE, PHOSPHOLIPIDS, CYANOCOBALAMIN, SPHINGOLIPIDS, SODIUM CITRATE, p-ANISIC ACID, SODIUM HYDROXIDE, TOCOPHEROL","Warnhinweise
Kontakt mit Textilien vermeiden"
https://www.rossmann.de/de/pflege-und-duft-isana-120h-liquid-moisturizer/p/4305615918082,120h* Liquid Moisturizer,ISANA,"Artikelpreis 3,99 €","Der zu Allem passende Feuchtigkeits-Kick. Langanhaltend hydratisierte* und sofort glattere Haut.** In 28 Tagen wird ein 120h-Feuchtigkeitsdepot in der Haut geschaffen.*
5% Panthenol-Komplex (Pro-Vitamin B5) und Allantoin beruhigen die Haut & mildern Irritationen und Rötungen.
6% Glycerin spendet intensiv Feuchtigkeit und mildert Trockenheitsfältchen. Mit Niacinamid (Vitamin B3).
5% Panthenol-Komplex
6% Glycerin
beruhigt & stärkt die Haut, mit Ectoin
für jeden Hauttyp - sofort wirksam auch bei trockener Haut
Hautverträglichkeit dermatologisch bestätigt und pH-hautneutral
*in-vivo Studie zum Wirkstoff
**in-vivo Studie zur Faltentiefenreduktion bei 80% der Testerinnen nach 1h
Kontaktdaten
Dirk Rossmann GmbH
Isernhägener Straße 16, 30938 Burgwedel
www.rossmann.de
product@rossmann.info
Ursprungsland/Herkunftsort
Deutschland
Testurteile, Qualitätssiegel & Verbandszeichen","Anwendung: Morgens und abends nach der Reinigung 2-3 Pumpstöße in die Handfläche geben, auf Gesicht, Hals &amp; Dekollete` auftragen. Anschließend die Pflegeroutine mit Serum & Gesichtscreme fortsetzen. Ideal als Make-up Unterlage geeignet.","Aqua, Glycerin, Panthenol, Betaine, Sorbitol, Aloe Barbadensis Leaf Juice, Niacinamide, Allantoin, Ectoin, Lithothamnion Calcareum Extract, Sodium Hyaluronate, Xanthan Gum, Pentylene Glycol, Calcium Chloride, Ethylhexylglycerin, Amylopectin, Gellan Gum, Pantolactone, Lactic Acid, Phospholipids, Citric Acid, Potassium Sorbate, Sodium Benzoate, Sphingolipids, Sodium Citrate, Tocopherol, Phenoxyethanol, p-Anisic Acid",
https://www.rossmann.de/de/pflege-und-duft-nivea-cellular-epigenetics-verjuengendes-serum/p/4006000197869?rm_tt=eyJhZF9pZCI6Ijc1MDgzZTU0LTg1MDEtNDc3NS04OTkyLWMzNDUwOGE3OTllZSIsInByb2plY3RfaWQiOiJkZGY0YzYyMy1iYTBkLTQ2ZjEtOThjMi03OWRhMjVkYmExNjYiLCJza3UiOiI0MDA2MDAwMTk3ODY5IiwiaWF0IjoxNzc5NDY4NTk3LCJsaSI6IjVlOWNhYTFmLTZmOGEtNGIyNi1hMWM5LTgwNjM4N2QzNTc4ZCIsImFzIjoiMWQ0MmEyZDEtM2JmYy00ODY1LTkyZjUtMjNmZWI1ZGQ1NzRhIiwiYmMiOjcxLCJidCI6MSwicGwiOiIzYzU5ZTFjNi1jMzlmLTRjNmQtYmYwYi1iZDMzMzc2OTJhNTUiLCJhdCI6MTc3OTQ2ODU5NzM2Nn0%3D.L8v_Eoe5C0t5atFZLbVhPFUESSx6M4QGlfLTwfFo0tA%3D,Cellular Epigenetics Verjüngendes Serum,NIVEA,"Artikelpreis 15,99 €","Das Cellular Epigenetics Verjüngendes Serum ist ein effektives Serum, das für ein strahlenderes, aufgepolsterteres und jugendlicheres Aussehen sorgt.
Nach 15 Jahren intensiver Forschung an 50.000 getesteten Wirkstoffen hat NIVEA Epicelline® entdeckt - einen bahnbrechenden Inhaltsstoff im Bereich der epigenetischen Wissenschaft, der die Jugendfunktionen der Hautzellen reaktiviert und das Zellalter umkehrt.
Wissenschaftlich nachgewiesen durch die patentierte Age Clock Technologie, reduziert er das Hautalter innerhalb von 2 Wochen. Zusammen mit drei Arten von Hyaluronsäure ist das Serum die neueste Innovation von NIVEA im Anti-Ageing Bereich.
Mit seiner effektiven Formel setzt es 10 Zeichen der Hautalterung** zurück und ist für alle Hauttypen geeignet.
patentierte Age Clock Technologie
Hautverträglichkeit dermatologisch getestet
**klinische Studien, Bestätigungsrate, 31-41 Frauen, 2024
Kontaktdaten
Beiersdorf Ges mbH
Lehrbachgasse 13 EURO PLAZA, Gebäude H 1120 Wien Austria
www.nivea.de
nivea@beiersdorf.com","Zwei Mal täglich anwenden, morgens und abends, auf das gereinigte Gesicht vor der täglichen Hautpflegeroutine. Das Serum auf dem gesamten Gesicht verteilen. Direkten Kontakt mit den Augen vermeiden.","Aqua, Glycerin, Cocoglycerides, Methylpropanediol, Caprylic/Capric Triglyceride, Octyldodecanol, Glyceryl Stearate, Cetearyl Alcohol, Distarch Phosphate, Tapioca Starch, Butyrospermum Parkii Butter, Cetyl Palmitate, Squalane, Dihydromyricetin, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Ethylhexylglycerin, Xanthan Gum, Trisodium EDTA, Sodium Hydroxide, Citric Acid, Diethylhexyl Syringylidenemalonate, Sodium Metabisulfite, Phenoxyethanol, Citronellol, Parfum",
https://www.rossmann.de/de/make-up-nivea-expert-finish-cellular-3in1-pflege-cushion-02-mittel/p/4005900897336?rm_tt=eyJhZF9pZCI6IjBmNGJkMWRjLTIzMzgtNDgzMS05YmMyLWJlMTNlNWRjNDQ3ZSIsInByb2plY3RfaWQiOiJkZGY0YzYyMy1iYTBkLTQ2ZjEtOThjMi03OWRhMjVkYmExNjYiLCJza3UiOiI0MDA1OTAwODk3MzM2IiwiaWF0IjoxNzc5NDY4NTk3LCJsaSI6IjRiNGY3MjRkLTljYTktNGY2MC1hZDZiLTNlZmZiOWZiNDFiYiIsImFzIjoiMWQ0MmEyZDEtM2JmYy00ODY1LTkyZjUtMjNmZWI1ZGQ1NzRhIiwiYmMiOjQyLCJidCI6MSwicGwiOiIzYzU5ZTFjNi1jMzlmLTRjNmQtYmYwYi1iZDMzMzc2OTJhNTUiLCJhdCI6MTc3OTQ2ODU5NzM2Nn0%3D.qBamokexwGRZ4QRIdqGwOfZVR9fuwj95dFDeURoI6ek%3D,Expert Finish Cellular 3in1 Pflege Cushion 02 Mittel,NIVEA,"Artikelpreis 14,99 €","NIVEA® Cellular Expert Finish 3in1 Pflege Cushion mit LSF 15: Die einfache Lösung für jugendlich strahlende Haut und ein natürliches Aussehen. Das getönte Fluid-Kissen ist angereichert mit Hyaluron und spendet 24h Feuchtigkeit. Sehen Sie die Ergebnisse auf Ihrer Haut.
Der sofortige Effekt: Die Haut sieht ebenmäßig, jugendlich und strahlend aus.
Der langfristige Effekt: Die Haut sieht glatt aus und feine Fältchen werden sichtbar gemindert. Einfacher und pflegender als jedes Make-up. Dank integriertem Spiegel fällt ein Auffrischen des Teints auch on-thego leicht. Für frisch aussehende Haut nach jedem Auftragen.
Die innovative Formel angereichert mit Hyaluronsäure für jugendlich aussehende Haut. Die Hautzellen werden aktiviert, ihre eigene Hyaluronsäure zu produzieren.
die Haut wird mit 24h Feuchtigkeit versorgt
nach jedem erneuten Auftragen sieht die Haut wieder frisch aus und fühlt sich weich und sanft an
leicht deckende Farbpigmente passen sich mühelos Ihrem Hautton an, um Ihre jugendliche Ausstrahlung hervorzuheben
dank des handlichen Formats kann der Look jederzeit wieder aufgefrischt werden - überall und zu jeder Zeit.
Kontaktdaten
Beiersdorf AG
D-20245 Hamburg
www.NIVEA.com","Drücken Sie das beiliegende Kissen leicht auf das Schwämmchen, um die getönte 3in1 Pflege aufzunehmen.
Tragen Sie sie dann einfach mit dem Kissen auf Ihr Gesicht auf.
Bessern Sie nach, wann immer Sie Ihren Teint auffrischen und Ihre Haut besonders pflegen möchten. Für eine stärkere Deckkraft wiederholen Sie die Anwendung zwei- oder dreimal.","Aqua, Dimethicone, Glycerin, CI 77891, Ethylhexyl Stearate, Cetyl Diglyceryl Tris(Trimethylsiloxy)silylethyl Dimethicone, Ethylhexyl Salicylate, Tapioca Starch, Dicaprylyl Carbonate, Disteardimonium Hectorite, Sodium Chloride, Phenylbenzimidazole Sulfonic Acid, Silica Dimethyl Silylate, Sodium Hyaluronate, Magnolia Officinalis Bark Extract, Creatine, 1-Methylhydantoin-2-Imide, Tocopherol, Sodium Stearoyl Glutamate, Ethylhexylglycerin, Propylene Carbonate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Alumina, Trisodium EDTA, Sodium Hydroxide, Phenoxyethanol, Linalool, Citronellol, Benzyl Alcohol, Geraniol, Alpha-Isomethyl Ionone, Limonene, Parfum, CI 77492, CI 77491, CI 77499","Warnhinweise
Bitte Augenkontakt vermeiden."
https://www.rossmann.de/de/pflege-und-duft-isana-augenpads-hydrogel-vitamin-c/p/4068134022776,Augenpads Hydrogel Vitamin C,ISANA,"Artikelpreis 0,79 €","Die ISANA HYDROGEL AUGENPADS mit der Wirkstoffkombination aus Hyaluron und Vitamin C beleben die Augenpartie für einen wachen Blick und spenden intensive Feuchtigkeit . Die angenehm kühlende Hydrogel-Textur schmiegt sich perfekt der Augenpartie an und ermöglicht so eine optimale Wirkstoffaufnahme. Für eine frische und erholte Augenpartie.
Augenringe, Schwellungen und sichtbare Anzeichen von Müdigkeit wirken reduziert. Die Haut wirkt erfrischt und belebt. Tipp: Für einen extra Frische-Kick, Pads kurz vor der Anwendung in den Kühlschrank legen.
Hautverträglichkeit: dermatologisch bestätigt
diese Rezeptur ist zu 100% ohne Mikroplastik
mit Hyaluron & Vitamin C
Glowing-Booster-Effekt
vegan
Kontaktdaten
Dirk Rossmann GmbH
Isernhägener Straße 16 · 30938 Burgwedel · Germany
www.rossmann.de
product@rossmann.info
Ursprungsland/Herkunftsort
China
Testurteile, Qualitätssiegel & Verbandszeichen","1. Folie aufreißen und Augenpads herausnehmen.
2. Pads direkt unter den Augen auf die gereinigte Haut auflegen.
3. 15-20 Minuten einwirken lassen. Pads abnehmen und Rückstände sanft einklopfen oder einmassieren.","Aqua, Glycerin, Chondrus Crispus Powder, Glucomannan, Sodium Hyaluronate, Acetyl Tetrapeptide-11, Acetyl Tetrapeptide-9, 3-o-Ethyl Ascorbic Acid, Citrus Sinensis Extract, Hydrolyzed Soy Protein, Leuconostoc/Radish Root Ferment Filtrate, Butylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Potassium Chloride, Caprylhydroxamic Acid, Xanthan Gum, Synthetic Fluorphlogopite, Mannitol, Parfum, CI 77492, CI 77491, CI 77891.",
